         635 function calls (565 primitive calls) in 0.000 seconds

   Ordered by: cumulative time
   List reduced from 32 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:180(session)
        4    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:181(step)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:189(<lambda>)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:152(expr_from_json)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:202(_expr_from_json_dag)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:195(execute)
  211/163    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:206(<lambda>)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:60(eval_expr_bitset)
     23/1    0.000    0.000    0.000    0.000 bitset_backend.py:72(rec)
       24    0.000    0.000    0.000    0.000 typing.py:1374(__instancecheck__)
       24    0.000    0.000    0.000    0.000 typing.py:1665(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:200(<lambda>)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:52(build_bitset_env)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:49(periodic_env)
       22    0.000    0.000    0.000    0.000 cm_expr_serde.py:214(ref)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       82    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       24    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       47    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       23    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:224(<lambda>)


